time(s),gpu_used,job_completion
0,0,0
30,1,0
60,2,0
90,3,0.67
120,3,1
150,4,1.27
180,3,2.02
210,5,2.05
240,6,2.08
270,7,2.27
300,7,2.63
330,8,3.04
360,10,3.79
443,10,5.62
473,11,5.88
536,11,6.96
579,12,8.23
609,13,8.65
639,14,9.15
670,15,9.41
700,16,9.83
738,16,10.73
768,17,11.34
798,18,12.13
828,19,12.74
858,18,14
888,18,14.32
918,19,14.59
948,20,15.21
978,22,15.73
1016,22,16.73
1046,22,17.44
1076,23,18.07
1106,24,18.83
1154,24,19.91
1184,24,20.2
1214,24,20.92
1244,24,21.25
1274,24,21.66
1304,24,21.99
1334,24,22.64
1364,24,22.99
1406,24,23.72
1436,24,24.26
1466,24,24.7
1509,24,25.44
1552,24,26.25
1582,24,26.62
1612,24,27.35
1642,24,27.82
1672,24,28.25
1715,24,29.35
1745,24,29.78
1775,24,29.96
1805,24,30.61
1835,24,30.9
1865,24,31.36
1895,24,31.86
1925,24,32.3
1955,24,32.77
1993,24,33.34
2023,24,33.6
2053,24,34.08
2083,24,34.43
2113,24,34.95
2143,24,35.42
2174,24,35.77
2204,24,36.3
2234,24,36.66
2272,24,37.23
2302,24,37.75
2332,24,38.39
2362,24,38.88
2392,24,39.42
2422,24,40.07
2452,24,40.18
2482,24,40.88
2512,24,41.57
2542,24,42.05
2572,24,42.22
2602,24,42.52
2632,24,42.78
2662,24,42.89
2692,24,43.15
2722,24,43.39
2752,24,43.59
2782,24,43.86
2812,24,44.03
2842,24,44.13
2872,24,44.43
2902,24,44.65
2932,24,44.81
2962,24,45.32
2993,24,45.46
3023,24,45.75
3053,24,46.27
3083,24,46.42
3113,24,46.85
3143,24,47.04
3173,24,47.51
3216,24,47.83
3246,24,48.03
3276,24,48.23
3306,24,48.42
3336,24,48.64
3366,24,49
3409,24,49.27
3439,24,49.47
3469,24,49.72
3499,24,49.94
3529,24,50.68
3559,24,50.82
3589,24,51.05
3619,24,52.31
3649,24,52.45
3679,24,53.21
3709,24,54.4
3739,24,54.61
3769,24,54.76
3799,24,55.16
3829,24,55.46
3859,24,55.99
3890,24,56.48
3920,24,56.71
3950,24,56.85
3980,24,57.06
4018,24,57.27
4048,24,57.4
4078,24,57.63
4108,24,57.74
4138,24,57.96
