time(s),gpu_used,job_completion
0,0,0
30,0,0
70,2,0
144,4,1
180,4,1.5
220,5,2.02
255,6,2.22
302,8,2.53
352,9,4.19
390,9,4.64
426,9,5.21
470,10,5.63
518,11,6.54
557,11,7.45
617,12,9.55
672,13,10.06
735,15,11.84
786,16,13.19
835,17,13.46
879,18,13.8
910,18,14.59
962,19,15.36
1015,20,15.99
1084,23,17.57
1151,24,18.17
1205,24,19.17
1255,24,20.6
1310,24,21.19
1355,24,21.57
1401,24,22.72
1443,24,23.93
1495,23,25.02
1542,24,25.72
1573,24,26.24
1611,24,27.27
1642,24,28.19
1682,24,28.82
1713,24,29.28
1750,24,29.8
1781,24,30.53
1838,24,31.28
1888,24,32.56
1930,24,33.71
1970,24,34.25
2001,24,34.69
2049,24,35.6
2151,24,36.47
2204,24,37.39
2245,24,38.12
2276,24,39.07
2311,24,39.66
2342,24,40.03
2397,24,41.42
2450,24,41.93
2481,24,42.11
2534,24,42.56
2578,24,42.92
2609,24,43.19
2654,24,43.61
2690,24,44.14
2735,24,44.97
2772,24,45.44
2803,24,45.73
2834,24,46.12
2879,24,46.74
2914,24,47.09
2958,24,47.78
2992,24,48.24
3023,24,48.58
3053,24,49.1
3089,24,49.61
3125,24,49.92
3180,24,50.9
3221,24,52.57
3273,24,53.84
3309,24,55.1
3361,24,55.6
3395,24,55.93
3429,24,56.29
3460,24,56.72
3496,24,57.16
3532,24,57.54
3563,24,57.77
3597,24,58.03
3628,24,58.3
3658,24,58.72
3708,24,59.11
3739,24,59.41
3769,24,59.7
3804,24,59.92
3835,24,60.23
3865,24,60.44
3896,24,60.67
3926,24,60.97
3971,24,61.25
4006,24,61.48
4069,24,61.92
4100,24,62.13
4134,24,62.43
4164,24,62.7
4200,24,62.9
4230,24,63.2
4261,24,63.55
4311,24,63.85
4341,24,64.13
4376,24,64.3
4407,24,64.52
4437,24,64.76
4471,24,65.04
4501,24,65.21
4532,24,65.44
4562,24,65.65
4592,24,65.92
4633,24,66.23
4668,24,66.9
4704,24,67.58
4739,24,68.85
4784,24,69.14
4815,24,69.31
4859,24,69.77
4892,24,70
4961,24,70.58
5070,24,71.5
5101,24,71.66
5136,24,71.86
5167,24,72.1
5197,24,72.22
5228,24,72.57
5277,24,72.88
5311,24,73.13
5346,24,73.34
5376,24,73.52
5407,24,73.89
5437,24,74.02
5468,24,74.36
5503,24,74.65
5533,24,75.03
5564,24,75.27
5597,24,75.71
5641,24,76.04
5671,24,76.32
5715,24,76.64
5746,24,76.95
5776,24,77.19
5810,24,77.6
5840,24,77.92
5883,24,78.35
5917,24,78.65
5950,24,78.92
5981,24,79.21
6011,24,79.54
6054,24,79.83
6090,24,81.19
6125,24,81.48
6160,24,82.79
6209,24,83.2
6239,24,83.95
6278,24,84.89
6321,24,85.39
6352,24,85.7
6382,24,86.14
6416,24,86.44
6455,23,86.79
6485,23,86.96
6544,23,87.37
6574,22,87.54
6627,21,87.78
6657,21,87.93
6687,21,88.04
6718,21,88.18
6761,20,88.36
6808,19,88.58
6846,18,88.69
6876,18,88.77
6907,18,88.88
6937,18,88.96
6967,18,89.07
6998,18,89.24
7028,18,89.3
7058,17,89.4
7088,17,89.48
7119,17,89.65
7149,17,89.71
7179,17,89.82
7209,17,89.93
7239,17,90.05
7270,17,90.19
7300,17,90.24
7330,17,90.38
7368,16,90.48
7412,15,90.59
7442,15,90.63
7488,13,90.76
7518,13,90.81
7549,13,90.85
7579,13,90.88
7609,13,90.9
7639,13,90.94
7669,13,90.96
7700,13,91.02
7730,13,91.12
7760,13,91.14
7790,13,91.18
7820,13,91.26
7851,13,91.34
7881,13,91.37
7911,13,91.39
7941,13,91.51
7971,13,91.52
8002,13,91.57
8032,13,91.66
8062,13,91.69
8092,13,91.71
8122,13,91.73
8153,13,91.83
8183,13,91.86
8213,13,91.97
8243,13,92.04
8273,13,92.07
8303,13,92.09
8333,13,92.13
8363,13,92.21
8393,13,92.26
8423,13,92.26
8453,13,92.36
8483,13,92.42
8513,13,92.45
8543,13,92.45
8573,13,92.51
8603,13,92.57
8634,13,92.64
8664,13,92.75
8694,13,92.77
8724,13,92.86
8754,13,92.92
8784,13,92.97
8814,13,92.97
8844,13,93.03
8874,13,93.08
8904,13,93.11
8934,13,93.15
8964,13,93.2
8994,13,93.29
9024,13,93.33
9054,13,93.38
9084,13,93.49
9114,13,93.5
9144,13,93.53
9174,13,93.56
9212,12,93.66
9242,12,93.71
9272,12,93.75
9302,12,93.81
9332,12,93.83
9362,12,93.85
9392,12,93.89
9422,12,93.9
9452,12,93.95
9482,12,93.99
9512,12,94.14
9543,12,94.15
9573,12,94.17
9603,12,94.21
9633,12,94.24
9663,12,94.27
9693,12,94.29
9723,12,94.35
9753,12,94.4
9783,12,94.46
9813,12,94.48
9843,12,94.51
9873,12,94.56
9911,11,94.61
9941,11,94.66
9971,11,94.7
10001,11,94.75
10031,11,94.79
10061,11,94.81
10091,11,94.83
10121,11,94.83
10151,11,94.86
10181,11,94.91
10211,11,94.95
10241,11,94.97
10271,11,94.97
10301,11,95.03
10332,11,95.12
10362,11,95.15
10392,11,95.15
10422,11,95.18
10452,11,95.19
10482,11,95.26
10512,11,95.28
10542,11,95.35
10572,11,95.35
10602,11,95.37
10632,11,95.42
10662,11,95.45
10692,11,95.46
10722,11,95.47
10752,11,95.49
10782,10,95.61
10812,10,95.67
10842,10,95.69
10872,10,95.69
10902,10,95.71
10932,10,95.74
10962,10,95.77
10992,10,95.78
11022,10,95.8
11052,10,95.81
11082,10,95.87
11112,10,95.87
11142,10,95.94
11172,10,95.94
11202,10,95.98
11232,10,96
11262,10,96
11292,10,96.08
11322,10,96.11
11352,10,96.13
11383,10,96.15
11413,10,96.15
11443,10,96.18
11473,10,96.21
11503,10,96.22
11533,10,96.26
11563,10,96.29
11593,10,96.35
11623,10,96.39
11653,10,96.41
11683,10,96.43
11713,10,96.43
11743,10,96.45
11773,10,96.49
11803,10,96.52
11833,10,96.54
11863,10,96.57
11893,10,96.58
11923,10,96.6
11953,10,96.64
